iter	Passed	Remaining
0	10	10086
1	21	10549
2	27	9026
3	41	10309
4	45	9147
5	54	8969
6	63	8959
7	74	9286
8	83	9194
9	92	9116
10	105	9446
11	110	9114
12	119	9038
13	127	8950
14	135	8872
15	140	8624
16	149	8627
17	156	8535
18	167	8646
19	178	8765
20	187	8720
21	197	8779
22	206	8777
23	215	8781
24	223	8704
25	237	8897
26	242	8754
27	249	8648
28	259	8677
29	266	8631
30	272	8508
31	282	8535
32	289	8484
33	297	8460
34	302	8331
35	306	8210
36	311	8098
37	320	8107
38	327	8068
39	33140	34640	33741	35241	34642	35942	35343	36443	360	7836
44	36645	37845	374	7760
46	37847	39047	38348	39748	38949	40549	39550	413	7695
51	422	7698
52	425	7604
53	432	7581
54	444	7630
55	449	7579
56	458	7580
57	465	7554
58	472	7528
59	476	7468
60	481	7415
61	489	7401
62	498	7418
63	508	7443
64	518	7456
65	523	7410
66	531	7397
67	536	7348
68	543	7334
69	550	7318
70	555	7271
71	563	7265
72	567	7208
73	571	7150
74	578	7129
75	583	7089
76	588	7060
77	594	7025
78	60078	59479	60879	60280	61680	611	6936
81	62282	63382	629	6956
83	635	6935
84	643	6922
85	650	6908
86	654	6868
87	661	6853
88	667	6833
89	676	6841
90	684	6836
91	691	6827
92	698	6812
93	706	6809
94	712	6788
95	722	6807
96	729	6788
97	738	6797
98	745	6781
99	751	6765
100	757	6739
101	762	6716
102	768	6692
103	774	6669
104	779	6646
105	789	6661
106	796	6646
107	803	6638
108	811	6632
109	818	6620
110	824	6601
111	830	6585
112	837	6576
113	844	6563
114	851	6550
115	859	6548
116	869	6561
117	874	6537
118	879	6509
119	886	6501
120	891	6479
121	898	6464
122	904	6446
123	910	6434
124	917	6419
125	925	6416
126	932	6408
127	937	6389
128	948	6403
129	955	6397
130	965	6404
131	972	6395
132	980	6392
133	986	6377
134	995	6378
135	1009	6413
136	1014	6393
137	1024	6400
138	1036	6420
139	1043	6411
140	1048	6386
141	1054	6372
142	1059	6350
143	1067	6347
144	1073	6330
145	1084	6344
146	1091	6335
147	1098	6322
148	1108	6330
149	1113	6310
150	1119	6294
151	1129	6299
152	1138	6303
153	1143	6284
154	1150	6271
155	1157	6261
156	1163	6249
157	1170	6238
158	1178	6234
159	1187	6232
160	1192	6214
161	1203	6224
162	1212	6227
163	1219	6217
164	1232	6236
165	1241	6235
166	1249	6230
167	1259	6236
168	1265	6224
169	1277	6235
170	1286	6237
171	1293	6227
172	1297	6204
173	1309	6215
174	1317	6208
175	1323	6197
176	1331	6189
177	1338	6181
178	1351	6198
179	1357	6185
180	1364	6173
181	1375	6182
182	1382	6173
183	1392	6173
184	1402	6179
185	1408	6165
186	1414	6150
187	1422	6143
188	1429	6133
189	1435	6119
190	1445	6122
191	1453	6114
192	1461	6109
193	1466	6094
194	1479	6108
195	1487	6101
196	1497	6103
197	1506	6103
198	1510	6080
199	1514	6059
200	1518	6036
201	1522	6013
202	1526	5991
203	1529	5969
204	1533	5947
205	1537	5925
206	1540	5903
207	1544	5880
208	1548	5859
209	1551	5837
210	1555	5816
211	15212	1571212	15213	1578	5797
214	1585	5789
215	1593	5782
216	1602	5781
217	1610	5778
218	1616	5765
219	1622	5754
220	1628	5740
221	1634	5728
222	1642	5723
223	1649	5714
224	1656	5704
225	1661	5690
226	1666	5675
227	1670	5657
228	1677	5647
229	1687	5648
230	1696	5646
231	1703	5638
232	1710	5630
233	1715	5614
234	1720	5601
235	1730	5601
236	1737	5592
237	1744	5584
